dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.5886/2fva5p4r	b22b10e7-86da-4b80-8f49-f3f958a2463d	University of Manitoba Herbarium (WIN) - Vascular Plant Collection	University of Manitoba Herbarium (WIN) from University of Manitoba. http://dx.doi.org/10.5886/2fva5p4r (accessed on [date])	3
10.15468/dlwwhz	85714c48-f762-11e1-a439-00145eb45e9a	Herbarium Berolinense, Berlin (B)	Curators Herbarium B (2000+). Digital specimen images at the Herbarium Berolinense. [Dataset]. Version: . Data Publisher: Botanic Garden and Botanical Museum Berlin. http://ww2.bgbm.org/herbarium/. [Please cite individual specimens with their stable ID, for images add the image ID.] For reference to a specimen cite the stable identifier as shown on the specimen detail page  (e.g. http://herbarium.bgbm.org/object/B200072053). For reference to an individual image, cite the stable identifier of the specimen as well as the image ID as shown on the image detail page	29
10.15468/wyofjv	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	University of Colorado Museum of Natural History Herbarium Vascular Plant Collection		1
10.15468/wtlymk	e45c7d91-81c6-4455-86e3-2965a5739b1f	Vascular Plant Herbarium, Oslo (O) UiO	University of Oslo (2022). Vascular Plant Herbarium, Oslo (O) UiO. Version 1.1949. Occurrence dataset https://doi.org/10.15468/wtlymk accessed via GBIF.org on 2022-09-05.	448
10.15468/axrelr	89c53edb-0fac-4118-bdc0-d70ca50953dc	Kathryn Kalmbach Herbarium		33
10.15468/xxoo68	56e9c560-bd2a-11dd-b15e-b8a03c50a862	Louisiana State University, Shirley C. Tucker Herbarium - Vascular Plants		5
10.15468/9ufthy	707e1918-0999-4f2f-9ad1-22c0be104861	North Carolina State University Vascular Plant Herbarium		5
10.15468/5nilie	8a863029-f435-446a-821e-275f4f641165	Observation.org, Nature data from around the World		9219
10.15468/6qssph	1b723dca-61b4-4833-a105-9259d0e2c72a	Arkansas Tech University Herbarium		1
10.15468/4f0bmt	bafa5083-8081-42f8-9201-04c511f45098	Collections of Bioclass, school #179, Moscow	Reshetnikova N, Kudryavtseva E, Petrash E, Lapin A (2019): Collections of Bioclass, school #179, Moscow. v1.5. Lomonosov Moscow State University. Dataset/Occurrence. https://depo.msu.ru/ipt/resource?r=biobase&v=1.5	8
10.15468/v6w6h6	e3282b0b-a881-472b-ab98-6881960b2c3f	Hollister Herbarium at TN Tech University		2
10.15468/olfpjv	835ac57e-f762-11e1-a439-00145eb45e9a	Herbário João de Carvalho e Vasconcellos, I.S.A./U.L.	Arsénio P, Cunha A R, Paes P, Vasconcelos T, Figueira R (2021): Herbário João de Carvalho e Vasconcellos, I.S.A./U.L.. v1.4. Instituto Superior de Agronomia / Universidade de Lisboa. Dataset/Occurrence. https://doi.org/10.15468/olfpjv	29
10.15468/zciacm	95aef98e-f762-11e1-a439-00145eb45e9a	Colorado State University, Charles Maurer Herbarium		4
10.15468/puyrj8	44ae3412-2854-4021-8ac4-8e898ba656be	FSC - Fresno State Herbarium		1
10.15468/5wff5a	bc27098e-0d4b-49a9-8bbc-64736877ec6f	TUR Vascular plant collections of the Turku University, Herbarium Fennoscandicum		2
10.15468/14epds	d0aa984e-c6d3-45ee-8fc0-df1df8f4126b	Vascular plant herbarium, The Arctic University Museum of Norway (TROM)	Rämä H E (2022). Vascular plant herbarium, The Arctic University Museum of Norway (TROM). Version 1.1931. UiT The Arctic University of Norway. Occurrence dataset https://doi.org/10.15468/14epds accessed via GBIF.org on 2022-09-05.	2
10.15468/bihrxd	a36438d0-bec7-4b7b-9bfa-2c31e7610c39	Bell Museum plants		8
10.15468/nl8bvi	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	University of Michigan Herbarium	UM Herbarium Collection	92
10.15468/9ll2gz	e1beb83c-9b83-4d17-ac5e-d24e09507ec5	BoBO - Botanic Garden and Botanical Museum Berlin Observations	Droege, G., Güntsch, A., Holetschek, J., Kusber, W.-H. (eds.) 2003 - (continuously updated): BoBO - Botanic Garden and Botanical Museum Berlin-Dahlem Observations	2
10.15468/s55f2k	f873ef66-231a-4ea3-bd4d-a16f182bf337	Academy of Natural Sciences of Drexel University		214
10.5886/wrt547hq	5678b0b3-450b-4513-82e1-2b32c3c50b54	University of Lethbridge Herbarium (LEA)	University of Lethbridge Herbarium (LEA). http://dx.doi.org/10.5886/wrt547hq (accessed on [date]).	9
10.15468/zinzhd	7b91859e-f762-11e1-a439-00145eb45e9a	The Fungal Collection at the Botanische Staatssammlung München	Triebel, Dagmar (2020). The Fungal Collection at the Botanische Staatssammlung München. [Dataset].  Version: 20201113. Data Publisher: Staatliche Naturwissenschaftliche Sammlungen Bayerns – SNSB IT Center, München. http://www.botanischestaatssammlung.de/DatabaseClients/BSMfungicoll/About.html.	6
10.15468/8xf679	b8499ea4-333e-495e-b419-34cb55db1408	Virginia Polytechnic Institute and State University, Massey Herbarium		10
10.15468/dcc6j8	812c1e24-f762-11e1-a439-00145eb45e9a	Dataflos		1
10.15468/zrlqok	d29d79fd-2dc4-4ef5-89b8-cdf66994de0d	Vascular plant herbarium TRH, NTNU University Museum	Norwegian University of Science and Technology (2022). Vascular plant herbarium TRH, NTNU University Museum. Version 30.1987. Occurrence dataset https://doi.org/10.15468/zrlqok accessed via GBIF.org on 2022-09-05.	180
