dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/ly60bx	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	Royal Botanic Gardens, Kew - Herbarium Specimens	http://apps.kew.org/herbcat/gotoCiteUs.do	3
10.15468/kllkyl	38b4c89f-584c-41bb-bd8f-cd1def33e92f	Artportalen (Swedish Species Observation System)	Liljeblad J (2022). Artportalen (Swedish Species Observation System). Version 92.276. SLU Artdatabanken. Occurrence dataset https://doi.org/10.15468/kllkyl accessed via GBIF.org on 2022-09-03.	177
10.15468/b7tfpa	e5d9d04e-ffd1-4395-9b10-76034f0c619c	Deaver Herbarium (Northern Arizona University)		7
10.15468/zjbzel	b124e1e0-4755-430f-9eab-894f25a9b59c	Norwegian Species Observation Service	The Norwegian Biodiversity Information Centre . (2022): Norwegian Species Observation Service. v1.190. The Norwegian Biodiversity Information Centre (NBIC). Dataset/Occurrence. https://ipt.artsdatabanken.no/resource?r=speciesobservationsservice2&v=1.190	330
10.15468/7anvyu	85f9137e-8aec-4e0b-9ed6-0af4dbe491e8	Vascular plants from European Russia in the CSBG SB RAS Digital herbarium	Kovtonyuk N, Han I, Gatilova E (2020): Vascular plants from European Russia in the CSBG SB RAS Digital herbarium. v1.9. Central Siberian Botanical Garden SB RAS. Dataset/Occurrence. http://www.csbg.nsc.ru:8080/ipt/resource?r=euvrus&v=1.9	2
10.15468/slqqt8	e3ce628e-9683-4af7-b7a9-47eef785d3bb	Earth Guardians Weekly Feed	Questagame (2021). Earth Guardians Weekly Feed. Occurrence dataset https://doi.org/10.15468/slqqt8 accessed via GBIF.org on 2022-08-31.	1
10.5886/srzbj7	55a29b7c-9cb3-4721-b1e3-40561c955e21	McGill University Herbarium Database	Waterway M, Martins K, Larocque G (2016): McGill University Herbarium Database. v2.1. McGill University. Dataset/Occurrence. https://doi.org/10.5886/srzbj7	105
10.15468/t43wjj	7827f68d-c981-4023-bace-288a03434044	Intermountain Herbarium (Vascular plants & algae)		22
10.15468/qz8uyh	e2bec7d1-c0fe-4315-bac9-6c1ce3128309	Dinosaur National Monument Herbarium		2
10.15468/nc6rxy	b5cdf794-8fa4-4a85-8b26-755d087bf531	The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)	The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris) Some material digitized by e-ReColNat (ANR-11-INBS-0004)	511
10.15468/c2gj2t	cfbdc726-cd55-4d58-a6db-9aebe037a6d9	Lord Fairfax Community College Herbarium		2
10.15468/hfs8d4	46239994-a621-4d41-9556-e53e0e9bed63	Tallinn Botanic Garden		9
10.15468/ib5ypt	15f819bd-6612-4447-854b-14d12ee1022d	Naturalis Biodiversity Center (NL) - Botany		633
10.15468/onfqgb	8278e7bc-f762-11e1-a439-00145eb45e9a	The Fungal Collection of Helga Große-Brauckmann at the Botanische Staatssammlung München	Triebel, Dagmar (2020). The Fungal Collection of Helga Große-Brauckmann at the Botanische Staatssammlung München. [Dataset].  Version: 20201113. Data Publisher: Staatliche Naturwissenschaftliche Sammlungen Bayerns – SNSB IT Center, München. http://www.botanischestaatssammlung.de/DatabaseClients/BSMgrossebrcoll/About.html.	1
10.15468/ofn0lf	4db619a6-9429-4bef-90c9-06cc90c39552	Vascular Plant Herbarium, UiB		2
10.15468/nxnqzf	90c853e6-56bd-480b-8e8f-6285c3f8d42b	Field Museum of Natural History (Botany)  Seed Plant Collection		1
10.15468/jayxmn	84a649ce-ff81-420d-9c41-aa1de59e3766	ALA species sightings and OzAtlas	Citizen Science - ALA Website (2022). ALA species sightings and OzAtlas. Occurrence dataset https://doi.org/10.15468/jayxmn accessed via GBIF.org on 2022-08-31.	1
10.15468/njmmp7	2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	Biodiversity4all Research-Grade Observations	Citizen Science Observation Dataset B (2020): Biodiversity4all Research-Grade Observations. v1.0. BioDiversity4All. Dataset/Occurrence. http://ipt.gbif.pt/ipt/resource?r=biodiversity4all_research-grade_observations&v=1.0	13
